StudentID,Remarks
1043,"We get no proper notes from teacher..
None of a concept gets clear...
And please stop threating students for attendance and marks"
1044,Bad..overall.should be changed
1045,poor knowledge   & bad  behaviour 
1046,good teaching
1047,awesome sir
1048,awesome sir
1049,Pretty cool mam
1050,Don't teaches practicals properly. Always scolds and threaten students for attendance. Does not clear concepts. Not supportive to students. Always demotivated students.
1051,Good teaching method and skill...
1052,excelent.
1053,No
1054,No
1055,"Not supportive 
Threatens for attendance 
Our concepts never gets clear 
Not a single notes she provides from her side 
Gets angry when you ask about something "
1056,"Rehan sir is a very good teacher. He provides us proper notes, teaches very good, completes syllabus on time, dectates and provides proper notes, provides question bank on time. Best teachers of 7th sem section A. U r very nice sir thank u. "
1057,teacher have very over ego
1058,Very good teacher 
1059,Very good and my best teacher 
1060,Bad teacher 
1061,"Very nice teacher , pays focus to each and everybody."
1062,Non Co-operative and not friendly
1063,He has a good knowledge but he is unable to explain things properly 
1064,If the student is present in the class and absent on yesterday then mam marks absent for two days
1065,He is a legend.
1066,"Teaches very fast
"
1067,more classes should be taken
1068,Teaching skill is good
1069,*
1070,*
1071,*
1072,Have a great problem solving techniques
1073,"Good 
One of the best quality is
Control class, discipline."
1074,"Nice behavior.
"
1075,Excellent
1076,Good
1077,Good
1078,No
1079,No
1080,No
1081,No
1082,Sir should provide notes 
1083,Please teach us in the next semester too..!!
1084,"Never understands students requirements
When you ask something shows arrogance gets angry everytime Our concept nver gets clear not supportive"
1085,"Very nice very good
Talented hod sir.."
1086,Good teaching for the subject 
1087,Helpful
1088,Helpful 
1089,Sir takes lots of efforts...to teach us
1090,Extra knowledge given for the future life..
1091,Behavior is like a caring MOTHER
1092,Good
1093,Badiya sir..
1094,Good 
1095,Good 
1096,excellent
1097,very good
1098,good
1099,good
1100,revision needed
1101,revision needed
1102,revision needed
1103,doesnt have much knowledge about subject
1104,need full marks in every sheets
1105,good but strict 
1106,03-Oct
1107,awesome
1108,full revision needed
1109,06-Oct
1110,08-Oct
1111,08-Oct
1112,10-Oct
1113,Good
1114,Good
1115,Excellent
1116,Excellent
1117,Good
1118,Taught excellently 
1119,Good teacher. 
1120,Does not care about students. Students are not at all benefits from q.b. Q. B means less question not complete syllabus. Students are not ?? 
1121,Very good teacher
1122,Important questions should be teach first like last unit numericals 
1123,No practical completed properly. Students don't know how to operate software quartus
